component_package,what_it_does,pages_using_count,pages_using,presentation_only_or_behavior,has_view,has_viewmodel,has_contract,has_fixtures,preview_route,shared_foundation,notes
components/studio/ui/responsive-filter-panel,Responsive filter panel that toggles visibility on mobile and desktop independently,2,/studio/community; /studio/my-creations,presentation_only,yes,yes,yes,yes,/dev/ui-preview/responsive-filter-panel,no,
components/studio/usePersistentViewMode.js,Hook that persists view mode preference (grid/list) to browser localStorage with responsive defaults.,2,/studio/games; /studio/story-rooms,presentation_only,no,no,no,no,/dev/ui-preview/games-hub,no,
components/studio/view-mode-toggle,Renders toggle buttons to switch between grid and list view modes.,2,/studio/games; /studio/story-rooms,presentation_only,yes,no,yes,yes,/dev/ui-preview/view-mode-toggle,no,
components/InsertedStory.jsx,"Renders a styled inserted story section with eyebrow, title, and body content.",1,/,presentation_only,no,no,no,no,,no,
components/LoreArcAccordion.jsx,Renders expandable accordion sections for lore arcs with timeline cards and localStorage state persistence.,1,/lore,presentation_only,no,no,no,no,,no,
components/PaginatedCardGrid.jsx,Generic reusable grid wrapper with intersection-observer-triggered lazy loading.,1,/studio/official-characters,presentation_only,no,no,no,no,/dev/ui-preview/official-characters-grid,no,
components/policies/PolicyIndex.jsx,Renders an index of policy documents as a grid of linked cards,1,/terms,presentation_only,no,no,no,no,,no,
components/policies/PolicyPage.jsx,"Renders a single policy document with header, sections, and footer disclaimer",1,/terms/[slug],presentation_only,no,no,no,no,,no,
components/SiteFooter.jsx,"Renders site footer with navigation links to lore, characters, locations, factions, and legal pages.",1,/,presentation_only,no,no,no,no,,no,
components/studio/account/studio-account-coins,Fetches and displays current coin balance with purchase info modal capability.,1,/studio/account,behavior,yes,yes,yes,yes,/dev/ui-preview/studio-account-coins,no,
components/studio/account/studio-account-metrics,"Fetches and displays studio account metrics including characters, canon, interactions, likes, and images.",1,/studio/account,behavior,yes,yes,yes,yes,/dev/ui-preview/studio-account-metrics,no,
components/studio/account/studio-account-profile,"Fetches current studio profile and mutates profile fields including username, display name, contact email, and content preferences.",1,/studio/account,behavior,yes,yes,yes,yes,/dev/ui-preview/studio-account-profile,no,
components/studio/character-templates/characterTemplateUtils.js,"Utility module exporting form schemas, field group definitions, and helper functions for character template creation and manipulation.",1,/studio/create/character-template,presentation_only,no,no,no,no,,no,
components/studio/characters/characterUtils.js,Pure utility functions for building character creation payloads and extracting creation responses.,1,/studio/create/character,presentation_only,no,no,no,no,,no,
components/studio/community/community-hub,"Filters and displays community creations and creators with support for tags, types, ratings, and sorting.",1,/studio/community,presentation_only,yes,yes,yes,yes,/dev/ui-preview/community-hub,no,
components/studio/community/creator-card,"Renders a creator profile card with tagline, description, stats, and engagement actions.",1,/studio/community,presentation_only,yes,yes,yes,yes,/dev/ui-preview/creator-card,no,
components/studio/community/creator-list-row,Renders a creator as a horizontal list row with stats and engagement action buttons.,1,/studio/community,presentation_only,yes,yes,yes,yes,/dev/ui-preview/creator-list-row,no,
components/studio/community/CreatorDisplay.js,Pure utility functions for extracting and formatting creator handle and display name.,1,/studio/community,presentation_only,no,no,no,no,,no,
components/studio/create/actor-mechanics-profile/actor-mechanics-profile-builder,Creates and saves actor mechanics profiles to the database with bindings and identity metadata.,1,/studio/create/actor-mechanics-profile,behavior,yes,yes,yes,yes,/dev/ui-preview/actor-mechanics-profile-builder,no,
components/studio/create/actor-mechanics-profile/ActorMechanicsProfileBuilderShell.jsx,Wrapper component that renders the actor mechanics profile builder view and linked creation picker modal.,1,/studio/create/actor-mechanics-profile,presentation_only,no,no,no,no,/dev/ui-preview/actor-mechanics-profile-builder,no,Shell component only; actual behavior (saving) occurs in nested useActorMechanicsProfileBuilderViewModel.
components/studio/create/character-template/character-template-builder,"Multi-step builder for creating character templates that collects template metadata and character attribute fields, then saves the template via API.",1,/studio/create/character-template,behavior,yes,yes,yes,yes,/dev/ui-preview/character-template-builder,no,Calls createCharacterTemplateDraft and mutates product data via router navigation after save.
components/studio/create/character-template/CharacterTemplateBuilderEditor.jsx,"Form component that renders individual form fields for all character template attributes across appearance, behavior, and identity sections.",1,/studio/create/character-template,presentation_only,no,no,no,no,,no,
components/studio/create/character/AppearanceStep.jsx,"Form section for defining character appearance including skin tone, eye color, hair, ethnic heritage reference, and default clothing.",1,/studio/create/character,presentation_only,no,no,no,no,,no,
components/studio/create/character/BehaviorStep.jsx,"Form section for defining character behavior including personality, speech style, movement style, zodiac signs, verbosity level, interests, and philosophy.",1,/studio/create/character,presentation_only,no,no,no,no,,no,
components/studio/create/character/BodyStep.jsx,"Form section for defining a character's physical traits including body type, height, build, proportions, and body notes.",1,/studio/create/character,presentation_only,no,no,no,no,,no,
components/studio/create/character/character-creator,"Saves character drafts to the database with form data, templates, and progress tracking.",1,/studio/create/character,behavior,yes,yes,yes,yes,/dev/ui-preview/character-creator,no,
components/studio/create/character/character-preview,"Component that displays character information (name, title, species, gender, clothing style) transformed from form field values into readable labels.",1,/studio/create/character,presentation_only,yes,yes,yes,yes,/dev/ui-preview/character-preview,no,
components/studio/create/character/character-template-picker,"Modal that displays and filters built-in character templates for users to apply to their character creation, managing tab and search state locally.",1,/studio/create/character,presentation_only,yes,yes,yes,yes,/dev/ui-preview/character-template-picker,no,
components/studio/create/character/CharacterCreatorUtils.jsx,Reusable presentation utility components for character creator steps including summary items and text fields.,1,/studio/create/character,presentation_only,no,no,no,no,,no,
components/studio/create/character/CharacterTemplateModal.jsx,Modal for browsing and applying character templates with search and tabbed interface.,1,/studio/create/character,presentation_only,no,no,no,no,,no,
components/studio/create/character/constants/form.js,Default character form field definitions and initial values.,1,/studio/create/character,presentation_only,no,no,no,no,,no,
components/studio/create/character/IdentityStep.jsx,"Renders identity step for character creation with name, species, gender, and role archetype fields.",1,/studio/create/character,presentation_only,no,no,no,no,,no,
components/studio/create/character/review-step,"Renders review step for character creation with summary items, select fields, and advanced options.",1,/studio/create/character,presentation_only,yes,yes,yes,yes,/dev/ui-preview/character-review-step,no,
components/studio/create/create-type-card,"Renders a clickable card for each creation type with title, description, image, and disabled state.",1,/studio/create,presentation_only,yes,no,yes,yes,/dev/ui-preview/create-type-card,no,
components/studio/create/creation-studio,"Displays three creation modes (Quick Start, Guided Build, Full Studio) with progress tracking and chapter navigation.",1,/studio/create,behavior,yes,yes,no,no,,no,Fetches owned creations via fetchOwnedCreations from lib/client; behavior_signal flip.
components/studio/create/CreationStudioExperience.jsx,"Main experience component that renders the creation studio interface, fetching owned creations from API.",1,/studio/create,behavior,no,no,no,no,,no,View model fetches owned creations via fetchOwnedCreations.
components/studio/create/item-registry/item-registry-builder,"Multi-step builder for creating item registries that manages item entries, starting assignments, and saves the registry via API.",1,/studio/create/item-registry,behavior,yes,yes,yes,yes,/dev/ui-preview/item-registry-builder,no,Calls createCreationDraft to persist item registry data.
components/studio/create/location/location-builder,"Multi-step builder for creating locations that collects location metadata, sensory environment, runtime modules, and registry attachments, then saves via API.",1,/studio/create/location,behavior,yes,yes,yes,yes,/dev/ui-preview/location-builder,no,Calls createLocationDraft to persist location data.
components/studio/create/location/LocationBuilderShell.jsx,Container component that orchestrates location builder sections and passes props from the location builder view model to child components.,1,/studio/create/location,behavior,no,no,no,no,,no,Calls behavior view model that saves location data.
components/studio/create/lore/lore-builder,"Builder for creating lore documents with text editing, rendering preview, JSON editing, and saving via API.",1,/studio/create/lore,behavior,yes,yes,yes,yes,/dev/ui-preview/lore-builder,no,View model has data mutation via API calls.
components/studio/create/lore/lore-engine-use,"Displays lore engine use submission status with mode selection, reference selection, status badge, and action buttons; fetches submission state from loreEngineUseClient.",1,/studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,,no,Imports from lib/client loreEngineUseClient; owns fetch and state management for engine use submissions
components/studio/create/lore/lore-publication-readiness,"Displays lore validation status with readiness checks, validation badges, error/warning issue lists, and submission/refresh/cancel action buttons; fetches validation state from loreValidationClient.",1,/studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/lore-publication-readiness,no,Imports from lib/client loreValidationClient; owns fetch and state management via useCallback hooks
components/studio/create/lore/LoreBuilderShell.jsx,Container component that orchestrates lore editor and renderer sections with optional JSON editor modal.,1,/studio/create/lore,behavior,no,no,no,no,,no,Calls behavior view model that manages lore document mutations.
components/studio/create/mechanics-module/mechanics-module-builder,Builder for creating mechanics modules with configurable fields and save functionality via API.,1,/studio/create/mechanics-module,behavior,yes,yes,yes,yes,/dev/ui-preview/mechanics-module-builder,no,View model handles module creation and API calls.
components/studio/create/mechanics-module/MechanicsModuleBuilderShell.jsx,Container component that renders mechanics module builder with fields section.,1,/studio/create/mechanics-module,behavior,no,no,no,no,,no,Calls behavior view model for mechanics module creation.
components/studio/create/narrator/constants.js,Constants module exporting dropdown options and initial form values for narrator builder fields.,1,/studio/create/narrator,presentation_only,no,no,no,no,/dev/ui-preview/narrator-builder,no,
components/studio/create/narrator/narrator-builder,"Builder for creating narrator profiles with tone, pacing, detail level, guidance, and visibility settings, then saves via API.",1,/studio/create/narrator,behavior,yes,yes,yes,yes,/dev/ui-preview/narrator-builder,no,View model handles narrator creation and data persistence.
components/studio/create/narrator/NarratorBuilderShell.jsx,Container component that renders the narrator builder interface from a view model.,1,/studio/create/narrator,behavior,no,no,no,no,,no,Calls behavior view model for narrator creation.
components/studio/create/npc-registry/npc-registry-builder,"Builder for creating NPC registries with entry management, relationship rules, knowledge rules, and alias rules, saving to API.",1,/studio/create/npc-registry,behavior,yes,yes,yes,yes,/dev/ui-preview/npc-registry-builder,no,View model handles registry creation and mutation of NPC data.
components/studio/create/player-character/player-character-creator,"Multi-step form (Identity, Appearance, Body, Profile, Review) to create a player character draft with save functionality.",1,/studio/create/player-character,behavior,yes,yes,yes,yes,/dev/ui-preview/player-character-creator,no,Calls createPlayerCharacterDraft from lib/client to persist form data.
components/studio/create/progression/progression-profile-builder,"Form to create and edit a progression profile with validation, profile editor, and draft save.",1,/studio/create/progression-profile,behavior,yes,yes,yes,yes,/dev/ui-preview/progression-profile-builder,no,Calls createProgressionProfileDraft from lib/client.
components/studio/create/progression/ProgressionProfileBuilderShell.jsx,Wrapper component that composes ProgressionProfileBuilder view with its viewmodel.,1,/studio/create/progression-profile,presentation_only,no,no,no,no,,no,"Shell only, delegates to view and viewmodel."
components/studio/create/room-template/constants.js,Exports form constants: visibility/content rating/room mode options and initial form state.,1,/studio/create/room-template,presentation_only,no,no,no,no,/dev/ui-preview/room-template-builder,no,
components/studio/create/room-template/room-template-builder,"Complex builder for room templates with scenario selection, character management, opening messages, and recommendations.",1,/studio/create/room-template,behavior,yes,yes,yes,yes,/dev/ui-preview/room-template-builder,no,Calls useRoomTemplateReferenceData and useMutualPlayers for data; calls createRoomTemplateDraft from lib/client.
components/studio/create/room-template/room-template-package-picker,Modal UI for browsing and selecting room template packages during creation.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-package-picker,no,
components/studio/create/room-template/RoomTemplateBuilderShell.jsx,Wrapper component that composes RoomTemplateBuilder with attachments sections and picker modal.,1,/studio/create/room-template,presentation_only,no,no,no,no,,no,"Shell only, delegates to builder view and modals."
components/studio/create/room-template/RoomTemplateFields.jsx,Exports reusable TextField and TextAreaField form input components.,1,/studio/create/room-template,presentation_only,no,no,no,no,/dev/ui-preview/opening-message-card,no,
components/studio/create/room-template/roomTemplateUtils.js,Utility functions for normalizing and processing room template data.,1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/room-template/selected-characters-panel,Panel displaying selected characters for the room template with remove actions.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-package-section,no,
components/studio/create/room-template/selection-card,Card component for displaying and selecting individual room template packages.,1,/studio/my-creations/[id]/edit,presentation_only,yes,no,yes,yes,/dev/ui-preview/room-template-package-section,no,
components/studio/create/rules-codex/rules-codex-builder,"Form to create and edit a rules codex with validation, section management, and draft save.",1,/studio/create/rules-codex,behavior,yes,yes,yes,yes,/dev/ui-preview/rules-codex-builder,no,Calls createRulesCodexDraft from lib/client; behavior_signal flip.
components/studio/create/rules-codex/RulesCodexBuilderShell.jsx,Wrapper component that composes RulesCodexBuilder view with its viewmodel.,1,/studio/create/rules-codex,presentation_only,no,no,no,no,/dev/ui-preview/rules-codex-builder,no,"Shell only, delegates to view and viewmodel."
components/studio/create/scenario/constants.js,"Exports UI text constants, story circle step definitions, and form field options for scenario creation.",1,/studio/create/scenario,presentation_only,no,no,no,no,/dev/ui-preview/scenario-builder,no,
components/studio/create/scenario/scenario-builder,Creates scenario drafts and fetches owned creations to populate reference options in a scenario builder form.,1,/studio/create/scenario,behavior,yes,yes,yes,yes,/dev/ui-preview/scenario-builder,no,Imports createScenarioDraft and fetchOwnedCreations from lib/client; runs useEffect to load references and calls createDraft on save.
components/studio/create/scenario/ScenarioBuilderShell.jsx,Wrapper component that composes ScenarioBuilder view with its viewmodel and reference picker modal.,1,/studio/create/scenario,presentation_only,no,no,no,no,,no,"Shell only, delegates to builder view and modal."
components/studio/create/stats-pools/stats-pools-builder,Manages building and saving stats and pools profile definitions with client-side validation and backend persistence.,1,/studio/create/stats-pools-profile,behavior,yes,yes,yes,yes,/dev/ui-preview/stats-pools-builder,no,Viewmodel creates drafts via lib/client and handles save lifecycle with error messaging.
components/studio/create/stats-pools/StatsPoolsBuilderShell.jsx,"Connects a stats pools builder view to its viewmodel, which manages draft creation and validation.",1,/studio/create/stats-pools-profile,behavior,no,no,no,no,,no,"Shell component that calls useStatsPoolsBuilderViewModel, which uses createStatsPoolsProfileDraft from lib/client."
components/studio/create/wardrobe/wardrobe-builder,"Manages wardrobe item editing with local form state and backend draft saving, supporting entry management and outfit selection.",1,/studio/create/wardrobe,behavior,yes,yes,yes,yes,/dev/ui-preview/wardrobe-builder,no,Uses createCreationDraft from lib/client to persist wardrobe definitions.
components/studio/creations/creation-profile-page,"Loads and displays creation media with reactions, enabling likes and bookmarks while supporting story launches from creations.",1,/studio/creations/[id],behavior,yes,yes,yes,yes,/dev/ui-preview/creation-profile-page,no,"Calls fetchMediaReactions, setMediaLike, setMediaBookmark from lib/client; calls startStoryFromCreation to initiate chat."
components/studio/creations/lore/LorePublicCreationPage.jsx,Renders a lore publication display from a creation prop with share button and status badges.,1,/studio/creations/[id],presentation_only,no,no,no,no,,no,
components/studio/games/games-hub,"Loads and displays playable games, enabling story template launches and game filtering.",1,/studio/games,behavior,yes,yes,yes,yes,/dev/ui-preview/games-hub,no,Uses fetchGames and playStoryTemplate from lib/client; manages game list and play state.
components/studio/image-studio/custom-ingredient-editor,UI for editing custom prompt text for image studio ingredients with optional preset save action.,1,/studio/image-studio,presentation_only,yes,yes,yes,yes,/dev/ui-preview/custom-ingredient-editor,no,
components/studio/image-studio/FilterPill.jsx,Renders a styled button pill for filtering media history by type.,1,/studio/image-studio,presentation_only,no,no,no,no,/dev/ui-preview/media-history-grid,no,
components/studio/image-studio/hooks/useImageGenerationHistory.js,"Fetches and manages image generation history with pagination, active job polling, and local pending state.",1,/studio/image-studio,behavior,no,no,no,no,,no,Calls fetchImageGenerationHistory. Polls for active jobs.
components/studio/image-studio/hooks/useImageGenerationJob.js,Submits image generation jobs to the server and tracks their loading/error state.,1,/studio/image-studio,behavior,no,no,no,no,,no,Calls createImageGenerationJob from imageStudioClient.
components/studio/image-studio/hooks/useImageStudioIngredientOptions.js,"Fetches available image studio ingredients (characters, outfits, locations, poses, presets) for ingredient picker.",1,/studio/image-studio,behavior,no,no,no,no,,no,Calls fetchImageStudioIngredientCreations from imageStudioClient.
components/studio/image-studio/image-studio-composer,Transforms image studio workbench props into UI props for the image/video composition editor.,1,/studio/image-studio,presentation_only,yes,yes,yes,yes,/dev/ui-preview/image-studio-composer,no,
components/studio/image-studio/image-studio-workbench,"Manages Image Studio workbench state including ingredient selection, custom prompts, image generation job submission, and history.",1,/studio/image-studio,behavior,yes,yes,yes,yes,/dev/ui-preview/image-studio-workbench,no,"Imports creationClient (createCreationDraft), useImageGenerationHistory, and useImageGenerationJob. Mutates product data."
components/studio/image-studio/imageStudioData.js,"Exports ingredient slots and UI option constants for image studio (camera presets, wardrobe themes, aspect ratios).",1,/studio/image-studio,presentation_only,no,no,no,no,,no,
components/studio/image-studio/imageStudioUtils.js,Utility functions for normalizing and filtering image studio ingredient options.,1,/studio/image-studio,presentation_only,no,no,no,no,,no,
components/studio/image-studio/ingredient-picker,Modal UI for browsing and selecting ingredients from saved creations or using custom prompts.,1,/studio/image-studio,presentation_only,yes,yes,yes,yes,/dev/ui-preview/ingredient-picker,no,
components/studio/image-studio/ingredient-slot,Renders a single ingredient slot display with title and selection/clear actions.,1,/studio/image-studio,presentation_only,yes,yes,yes,yes,/dev/ui-preview/image-studio-composer,no,
components/studio/image-studio/IngredientPickerModal.jsx,Wrapper component that renders modal for selecting or creating custom ingredients.,1,/studio/image-studio,presentation_only,no,no,no,no,,no,
components/studio/image-studio/media-history-grid,"Grid display of generated images with reactions, bookmarks, deletes, and lazy-loading.",1,/studio/image-studio,behavior,yes,yes,yes,yes,/dev/ui-preview/media-history-grid,no,"Imports mediaReactionClient (fetchMediaReactions, setMediaBookmark, setMediaLike) and imageOutputClient (deleteImageOutput)."
components/studio/image-studio/save-ingredient-preset,"Modal UI for naming, describing, and tagging custom image studio ingredient presets.",1,/studio/image-studio,presentation_only,yes,yes,yes,yes,/dev/ui-preview/save-ingredient-preset,no,Manages only local form state; parent component handles actual save via callback.
components/studio/image-studio/SaveIngredientPresetModal.jsx,Wrapper component that renders modal for saving custom ingredient presets with local form state.,1,/studio/image-studio,presentation_only,no,no,no,no,,no,
components/studio/image-studio/video-tools-panel,"Renders video generation tool options with duration, aspect ratio, and motion style selectors.",1,/studio/image-studio,presentation_only,yes,yes,yes,yes,/dev/ui-preview/image-studio-composer,no,
components/studio/my-creations/creation-edit-media-panel,Sidebar panel displaying featured image slots and providing navigation to the image library.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/creation-edit-media-panel,no,
components/studio/my-creations/creation-edit-shell,Shell component for creation edit UI with section navigation and featured media management.,1,/studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/creation-edit-shell,no,Calls setDefaultPlayerCharacter API to set default player character when user selects it.
components/studio/my-creations/edit/creation-edit-sticky-action-bar,"Displays and manages save, publish, and review lifecycle controls for a creation being edited.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/creation-edit-sticky-action-bar,no,
components/studio/my-creations/edit/creationEditPayloads.js,Utility functions for building creation edit form fallback state and extracting/merging creation data.,1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/my-creations/edit/hooks/useCreationEditViewModel.js,"Manages creation edit form state including field updates, save/archive/delete operations, and featured media slots.",1,/studio/my-creations/[id]/edit,behavior,no,yes,no,no,,no,"Imports creationClient with archiveCreation, deleteCreation, updateCreationDraft, fetchOwnedCreation functions."
components/studio/my-creations/edit/sections/AdvancedSection.jsx,Thin wrapper that composes CharacterAdvancedSectionView with an AdvancedPromptingEditor control passed as a prop.,1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,Re-export wrapper; delegates to character-advanced-section viewmodel
components/studio/my-creations/edit/sections/AppearanceSection.jsx,"Wrapper that assembles CharacterAppearanceSectionView with skin tone, eye color, hair, visual heritage modals and outfit/wardrobe picker modals.",1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,Composes multiple modal and picker components; manages active picker state
components/studio/my-creations/edit/sections/BehaviorSection.jsx,"Wrapper that assembles CharacterBehaviorSectionView with personality modals, trait modals (MBTI, zodiac, speech/movement style), voice module picker, and interests picker.",1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,Composes multiple modal components; no product data access
components/studio/my-creations/edit/sections/BodySection.jsx,"Wrapper that assembles CharacterBodySectionView with Kibbe preset modal, body type/height/build/proportions trait modals.",1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,Composes modal components; no product data access
components/studio/my-creations/edit/sections/character-advanced-section,"Renders form fields for advanced character guidance including greeting, scenario, backstory, relationship to player, and appearance/personality/runtime notes.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/character-advanced-section,no,
components/studio/my-creations/edit/sections/character-appearance-section,"Renders form fields for character appearance including skin tone, eye color, hair, visual heritage, and selected default clothing card with outfit/wardrobe selection.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/character-appearance-section,no,
components/studio/my-creations/edit/sections/character-behavior-section,"Renders form fields for character behavior including personality frameworks, speech style, movement style, voice modules, verbosity level, and philosophy.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/character-behavior-section,no,
components/studio/my-creations/edit/sections/character-body-section,"Renders form fields for character body properties including Kibbe preset, body type, height, build, proportions, and custom body notes.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/character-body-section,no,
components/studio/my-creations/edit/sections/character-identity-section,"Renders form fields for character identity including name, title, species, custom species, rendering style, age, gender presentation, color palette, and role archetype.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/character-identity-section,no,
components/studio/my-creations/edit/sections/character-template-fields-section,UI for editing character template identity and mechanics profiles.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/character-template-fields-section,no,
components/studio/my-creations/edit/sections/character-templates/CharacterTemplateFieldsSection.jsx,Renders character template builder UI for edit mode.,1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/my-creations/edit/sections/creation-danger-section,Renders destructive action panels for archiving or deleting creations with status messages and conditionally gated delete requirements.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/creation-danger-section,no,
components/studio/my-creations/edit/sections/creation-overview-section,"Renders form fields for creation overview including title, public description, and disabled preview button.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/creation-overview-section,no,
components/studio/my-creations/edit/sections/creation-publishing-section,"Renders form fields and action panels for creation publishing including visibility, content rating, template operations, and public/canon review submission.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/creation-publishing-section,no,
components/studio/my-creations/edit/sections/DangerSection.jsx,Thin wrapper that composes CreationDangerSectionView with archive and delete confirmation state from viewmodel.,1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,Re-export wrapper; delegates to creation-danger-section viewmodel
components/studio/my-creations/edit/sections/IdentitySection.jsx,Wrapper that assembles CharacterIdentitySectionView with character color palette modal and role archetype option modal.,1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,Re-export wrapper; delegates to character-identity-section viewmodel
components/studio/my-creations/edit/sections/image-presets/image-preset-identity-section,Maps image preset form data to identity editor section view props and update callbacks.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/image-preset-identity-section,no,
components/studio/my-creations/edit/sections/image-presets/image-preset-prompt-stack-section,Maps image preset form data to prompt-stack editor section view props and update callbacks.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/image-preset-prompt-stack-section,no,
components/studio/my-creations/edit/sections/image-presets/image-preset-rendering-notes-section,Maps image preset form data to rendering-notes editor section view props and update callbacks.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/image-preset-rendering-notes-section,no,
components/studio/my-creations/edit/sections/image-presets/image-preset-style-medium-section,"UI for editing image preset style attributes (medium, art style, artist influence, texture, color palette).",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/image-preset-style-medium-section,no,
components/studio/my-creations/edit/sections/item-registries/item-registry-fields-section,"UI for editing item registry (inventory/signature objects) identity, entries, and associations.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/item-registry-fields-section,no,
components/studio/my-creations/edit/sections/location-registries/LocationRegistryFieldsSection.jsx,Renders location registry builder UI for edit mode.,1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/my-creations/edit/sections/locations/location-identity-section,Maps location form data to identity editor section view props and manages parent-location picker state.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/location-identity-section,no,
components/studio/my-creations/edit/sections/locations/location-prompt-guidance-section,Maps location form data to prompt-guidance editor section view props and update callbacks.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/location-prompt-guidance-section,no,
components/studio/my-creations/edit/sections/locations/location-scene-atmosphere-section,Maps location form data to scene and atmosphere editor section view props and update callbacks.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/location-scene-atmosphere-section,no,
components/studio/my-creations/edit/sections/locations/location-visual-description-section,Maps location form data to visual-description editor section view props and update callbacks.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/location-visual-description-section,no,
components/studio/my-creations/edit/sections/narrators/narrator-guidance-section,"UI for editing narrator guidance (system prompt, character voice, narrative instructions).",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/narrator-guidance-section,no,
components/studio/my-creations/edit/sections/narrators/narrator-identity-section,"UI for editing narrator identity (name, description, visual identity).",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/narrator-identity-section,no,
components/studio/my-creations/edit/sections/narrators/narrator-modules-section,"UI for selecting narrator module preferences (prose style, pacing, dialogue, knowledge, atmosphere).",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/narrator-modules-section,no,
components/studio/my-creations/edit/sections/npc-registries/npc-registry-fields-section,"UI for editing NPC registry entries, relationships, knowledge rules, and aliases.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/npc-registry-fields-section,no,
components/studio/my-creations/edit/sections/outfits/outfit-garment-design-section,"Renders form fields for outfit garment design properties including silhouette, fit, coverage, style language, and clothing pieces.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/outfit-garment-design-section,no,
components/studio/my-creations/edit/sections/outfits/outfit-identity-section,"Renders form fields for outfit identity metadata including name, type/category, intended use, and tags.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/outfit-identity-section,no,
components/studio/my-creations/edit/sections/outfits/outfit-materials-details-section,"Renders form fields for outfit material properties including main colors, accent colors, materials, accessories, and armor notes.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/outfit-materials-details-section,no,
components/studio/my-creations/edit/sections/outfits/outfit-prompt-guidance-section,Maps outfit form data to prompt-guidance editor section view props with clothing-mode options and update callbacks.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/outfit-prompt-guidance-section,no,
components/studio/my-creations/edit/sections/OverviewSection.jsx,Thin wrapper that composes CreationOverviewSectionView with creation title and description state from viewmodel.,1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,Re-export wrapper; delegates to creation-overview-section viewmodel
components/studio/my-creations/edit/sections/poses/pose-body-position-section,Maps pose form data to body-position editor section view props and update callbacks.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/pose-body-position-section,no,
